proverb,속담,"There is an African proverb that says, 'Till the lions have their hitorians, tales of hunting will always glorify the hunter'.",20113
put accross A to B,A를 B에게 건네주다,They have to put across the point of view of the environment to people who make the laws.,20113
prior to,~이전에는,"Prior to file-sharing services, music albums landed exclusively in the hands of music critics before their release.",20113
laypeople,비전문가,"That is, critics and laypeople alike could obtain new music simultaneously.",20113
bio,약력,"~, list their new favorite bands in their social media bios, ~",20113
collaborate,"협력하다, 협동하다","Difficulties arise when we do not think of people and machines as collaborative systems, but assign whatever tasks can be automated to the machines and leave the rest to people.",20113
assign,할당하다,"Difficulties arise when we do not think of people and machines as collaborative systems, but assign whatever tasks can be automated to the machines and leave the rest to people.",20113
monitor,감시하다,"We expect people to monitor machines, which means keeping alert for long periods, something we are bad at.",20113
end up ing,결국 ~하게 되다,"This ends up requiring people to behave in machine-like fashion, in ways that differ from human capabilities.",20113
