shovel,삽,21103
exhaustion,"탈진, 기진맥진, 고갈, 소진",21103
tout,권유하다,21103
adage,격언,21103
all along,"그동안 내내, 쭉 이어져",21103
give ~ the credit,~에게 공을 돌리다,21103
rate ~ as ...,~를 ...라고 평가하다,21103
suspense,긴장감,21103
intersperse,(~사이에) 배치하다,21103
coffin,관,21103
grumpy,기분이 언짢은,21103
seismic,지진에 의한,21103
enduring,오래가는[지속되는],21103
seismically,"지진으로, 지진에 의해",21103
prone,(좋지 않은 일을) 하기[당하기] 쉬운,21103
imaginative,"창의적인, 상상력이 풍부한 (=inventive)",21103
orphanage,고아원,21103
anthem,찬가(讚歌),21103
synonymous,밀접한 연관을 갖는,21103
coordination,조정(調整),21103
amnesty,사면,21103
sell on,~을 받아들이게 하다,21103
lure,"꾀다, 유혹하다 (=entice)",21103
lifelike,"실물과 똑같은, 살아있는 듯한",21103
tread on,발로 밟다(trod -> tread의 과거분사),21103
glean,찾아내다,21103
groom,"마부, 말 사육 담당자 ",21103
mercury,수은,21103
barely,거의 ~ 아니게[없이],21103
convene,소집하다,21103
humankind,"인류, 인간",21103
tweak,살짝 변화를 주다,21103
traitor,배신자,21103
proliferation,확산,21103
nonpartisan,공정한,21103
partisan,편파[당파]적인 (=one-sided),21103
