modernity,현대성,st22EP
cocoon,"보호막, 고치",st22EP
cogent,"납득할 만한, 수긍되는",st22EP
scheme,"체계, 계획",st22EP
independence,독립,st22EP
intimacy,"친밀함, 친밀감",st22EP
manifest,분명히 나타난,st22EP
dependent,의존,st22EP
interdependence,상호의존성,st22EP
concession,용인,st22EP
alleviate,완화하다,st22EP
test the waters,(행동을 하거나 결정을 내리기 전에) 미리 상황을 살피다[조심스럽게 알아보다],st22EP
make judgement calls,<modifyt it to make a judgement call> 개인적 판단에 따라 결정을 내리다 ,st22EP
domestic,"가정의 + 국내의, 길들여진",st22EP
self-reliance,자립,st22EP
offspring,"자녀, 후손",st22EP
carry on with,~을 계속하다 ,st22EP
grinds to a halt,<modify it to grind to a halt> 서서히 멈추다,st22EP
recession,경기 후퇴,st22EP
downturn,"침체, 하강",st22EP
aspired to,<mod it to aspire to> ~하기를 열망하다,st22EP
markedly,현저하게,st22EP
arduous,"고된, 험한",st22EP
put forth,"~을 제시하다, ~을 제출하다",st22EP
attendant,"수행원, 시중드는 사람",st22EP
remains,유해,st22EP
inside out,안쪽에서 바깥쪽으로,st22EP
alternatively,"그렇지 않으면, 그렇지 않고, 양자택일로",st22EP
conceive,"구상하다, 상상하다",st22EP
predetermine,미리 정하다,st22EP
conditioned,"<mod it to condition> 좌우하다, 조건화하다",st22EP
occupant,"점유자, 거주자 ",st22EP
sure despite,<mod it to despite>~에도 불구하고,st22EP
interplay,상호작용,st22EP
tion complex,"<remove tion> 복합체, 복합 건물",st22EP
shape our,"<remove our> (전개, 진행에 영향을 미치다)",st22EP
discourse,담론,st22EP
outraged,격분한,st22EP
precarious,불안정한,st22EP
surveillance,감시,st22EP
incinerator,소각로,st22EP
hydraulic,수압의,st22EP
psychiatrist,정신과의사,st22EP
bottles up,<mod to bottle up> ~을 억누르다,st22EP
whale on,~을 때리다,st22EP
deviant,비저상적인 ,st22EP
natality,출생률,st22EP
on the order of,대략 ~ 정도의,st22EP
synthetic speech,합성 음성(인간의 음성처럼 인식될 수 있도록 인위적으로 재생산된 음향 신호),st22EP
in any event,아무튼,st22EP
regurgitate,되새김질하다,st22EP
acclimate,순응하다,st22EP
genotype,유전자형,st22EP
probationary,시험적인,st22EP
vicarious,대리의,st22EP
diffusion,전파,st22EP
change agent,변화의 주도자,st22EP
readiness,준비,st22EP
sonically,음향적으로,st22EP
intent,열중하는,st22EP
hooked on,<mod it to be hooked on> ~에 마음을 빼앗기다,st22EP
pre-med,의과 대학 예과[의예과] 과정,st22EP
biopharmaceutical,바이오 의약품의,st22EP
efficacy,"효능, 효험, 효용",st22EP
administer,(약 등을) 투여하다 + 관리하다,st22EP
along with,~과 더불어,st22EP
along these lines,"이런 관점에서, 이런 맥락에서",st22EP
immunising,"<mod it to immunise> 예방 접종을 하다, 면역시키다",st22EP
therapeutic,치료의,st22EP
frigid,몹시 추운,st22EP
trace gas,미량 기체,st22EP
long-standing,오래된,st22EP
reach for,~을 추구하다,st22EP
adversely,"나쁘게, 역으로",st22EP
multihued,다채로운,st22EP
disperse,퍼트리다,st22EP
every bit,"전적으로, 아주, 어느 모로 보나",st22EP
fraction,"비율, 분수, 일부",st22EP
incident,(광선이) 입사하는,st22EP
combustion,연소,st22EP
go toward,~에 쓰이다[도움이 되다],st22EP
religion,"종교, 신앙",st22EP
religious,"종교의, 신앙의, 독실한",st22EP
for good measure,"한술 더 떠서, 추가로",st22EP
turns out to,<mod turns to turn> ~이라고 판명되다,st22EP
entirely,전적으로,st22EP
after all,"어쨌든, 결국",st22EP
contextual,"상황적인, 문맥상의",st22EP
vulnerable,"취약한, 피해를 입기 쉬운",st22EP
neolithic,신석기 시대의,st22EP
anemia,빈혈증,st22EP
fool around with,~을 가지고 장난치다,st22EP
bust,불황 ,st22EP
austerity,긴축,st22EP
thriving,번창하고 있는,st22EP
thrive,"번창하다, 성장하다, 넘쳐나다",st22EP
high-end,고급의,st22EP
hervivorous,초식성의,st22EP
carnivorous,육식성의,st22EP
salmonid,연어과 어류,st22EP
deplete,"고갈시키다, 감소시키다",st22EP
stock,"어족(魚族), 종족",st22EP
aquaculture,양식(업),st22EP
fin-fish,(지느러미가 있는) 물고기,st22EP
affirm,"확인하다, 확언하다",st22EP
backlash,반발,st22EP
gone along with,"<mod gone to go> ~에 동조하다, 찬성하다",st22EP
putting him or her down,"<mod to put down> ~을 폄하하다, 깍아내리다",st22EP
reflecting on,"<mod it to reflect on> ~을 숙고하다, 조용히 생각하다",st22EP
